date,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,11008644-洽洽早餐每日坚果...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
2020-07-14,5,0,0,7,0,0,0,0,3,1,1
2020-07-15,4,0,0,4,0,0,0,0,2,4,1
2020-07-16,1,0,0,16,0,0,0,0,1,6,2
2020-07-17,0,0,0,10,0,0,0,0,3,1,2
2020-07-18,3,0,0,2,0,0,0,0,4,0,2
2020-07-19,0,0,0,2,0,0,0,0,2,1,0
2020-07-20,2,0,0,10,0,0,0,0,4,2,0
2020-07-21,5,0,0,8,0,0,0,0,6,0,0
2020-07-22,30,0,0,6,0,0,0,0,4,30,0
2020-07-23,2,0,0,2,0,0,0,0,2,1,0
2020-07-24,2,0,0,2,0,0,0,0,0,1,0
2020-07-25,3,0,0,5,0,0,0,0,2,2,0
2020-07-26,3,0,0,1,0,0,0,0,3,1,7
2020-07-27,4,0,0,5,0,0,0,0,4,1,1
2020-07-28,6,0,0,1,0,0,0,0,3,0,2
2020-07-29,3,0,0,0,0,0,0,0,2,0,0
2020-07-30,4,0,0,0,0,0,0,0,6,0,0
2020-07-31,2,0,0,0,0,0,0,0,3,7,1
2020-08-01,1,0,0,0,0,0,0,0,4,0,0
2020-08-02,7,0,0,0,0,0,0,0,4,0,4
2020-08-03,2,0,0,0,0,0,0,0,5,1,0
2020-08-04,0,0,0,0,0,0,0,0,2,1,0
2020-08-05,0,0,0,0,0,0,0,0,5,1,1
2020-08-06,2,0,0,4,0,0,0,0,3,1,1
2020-08-07,4,0,0,6,0,0,0,0,4,3,2
2020-08-08,2,0,0,5,0,0,0,0,12,8,2
2020-08-09,1,0,0,0,0,0,0,0,2,1,2
2020-08-10,0,0,0,0,0,0,0,0,3,1,0
2020-08-11,1,0,0,0,0,0,0,0,8,1,0
2020-08-12,1,0,0,2,0,0,0,0,3,2,1
2020-08-13,0,0,0,1,1,0,0,0,6,1,0
2020-08-14,1,0,0,4,1,0,0,0,17,6,0
2020-08-15,2,0,0,2,1,0,0,0,1,2,0
2020-08-16,1,0,0,2,0,0,0,0,8,0,4
2020-08-17,0,0,0,2,0,0,0,0,1,1,0
2020-08-18,0,0,0,5,0,0,0,0,0,0,0
2020-08-19,0,0,0,0,1,0,0,0,4,3,0
2020-08-20,0,0,0,8,3,0,0,0,3,14,0
2020-08-21,0,0,0,7,2,0,0,0,3,1,0
2020-08-22,2,0,0,0,0,0,0,0,0,0,1
2020-08-23,1,0,0,5,2,0,0,0,0,0,1
2020-08-24,1,0,0,3,0,0,0,0,0,0,0
2020-08-25,2,0,0,0,0,0,0,0,0,0,0
2020-08-26,2,0,0,2,0,0,0,0,0,1,1
2020-08-27,0,0,0,4,0,0,0,0,0,2,0
2020-08-28,0,0,0,3,0,0,0,0,0,0,0
2020-08-29,0,0,0,7,0,0,0,0,0,6,2
2020-08-30,0,0,0,2,0,0,0,0,0,3,0
2020-08-31,1,0,0,1,0,0,0,0,0,3,1
2020-09-01,0,0,0,4,0,0,0,0,0,3,2
2020-09-02,0,0,0,0,0,0,0,0,0,0,1
2020-09-03,1,0,0,3,0,0,0,0,1,0,1
2020-09-04,0,0,0,1,0,0,0,0,4,1,2
2020-09-05,7,0,0,1,0,0,0,0,2,1,0
2020-09-06,1,0,0,2,0,1,0,0,0,2,0
2020-09-07,0,0,0,3,0,0,0,0,1,3,0
2020-09-08,8,0,0,68,0,0,0,0,4,7,2
2020-09-09,3,0,0,2,0,1,0,0,1,1,1
2020-09-10,1,0,0,0,0,1,0,0,1,1,0
2020-09-11,2,0,0,0,1,1,0,0,1,16,0
2020-09-12,4,0,0,12,3,1,0,0,0,1,0
2020-09-13,0,0,0,3,2,0,0,0,0,0,0
2020-09-14,0,0,1,0,0,0,0,0,3,5,4
2020-09-15,1,9,1,2,0,0,0,0,2,0,0
2020-09-16,0,4,1,2,0,0,0,0,4,1,0
2020-09-17,2,5,0,0,0,0,0,0,7,2,4
2020-09-18,0,2,0,1,0,0,0,0,3,5,1
2020-09-19,0,3,0,2,2,1,0,0,1,1,0
2020-09-20,2,5,0,9,0,0,0,0,1,1,0
2020-09-21,0,1,0,5,0,0,0,0,2,3,0
2020-09-22,0,1,0,0,0,0,0,0,1,5,2
2020-09-23,4,1,0,1,1,0,0,0,1,1,0
2020-09-24,0,2,0,0,0,0,0,0,2,2,0
2020-09-25,0,0,0,6,1,0,0,0,5,1,0
2020-09-26,0,0,1,15,1,0,0,0,2,6,0
2020-09-27,1,0,1,0,0,2,0,0,2,0,3
2020-09-28,58,0,0,11,3,0,0,0,0,36,0
2020-09-29,5,4,0,6,1,0,0,0,0,6,0
2020-09-30,2,9,0,4,2,0,0,0,2,0,0
2020-10-01,4,13,0,9,0,0,0,0,3,2,0
2020-10-02,2,10,0,20,0,0,0,0,1,4,2
2020-10-03,4,8,0,14,1,0,0,0,2,19,0
2020-10-04,0,1,0,0,0,0,0,0,1,4,0
2020-10-05,4,5,0,5,1,0,0,0,2,11,1
2020-10-06,5,0,0,9,0,1,0,0,0,6,4
2020-10-07,0,0,2,2,0,0,0,0,1,0,2
2020-10-08,27,0,1,10,2,2,0,0,2,42,4
2020-10-09,1,0,0,3,0,1,0,0,1,0,0
2020-10-10,3,0,0,3,0,2,0,0,3,0,0
2020-10-11,2,1,0,6,0,2,0,0,1,3,2
2020-10-12,8,4,0,0,1,0,0,0,1,0,0
2020-10-13,4,4,0,0,1,0,0,0,0,2,1
2020-10-14,1,5,0,2,2,0,0,0,2,2,0
2020-10-15,25,2,0,0,1,0,0,0,0,29,0
2020-10-16,0,1,0,0,2,3,0,0,0,5,1
2020-10-17,2,4,0,6,0,3,0,0,1,3,0
2020-10-18,2,5,1,0,2,0,0,0,3,10,2
2020-10-19,0,4,0,0,0,1,0,0,2,3,0
2020-10-20,2,2,0,0,0,0,0,0,3,7,0
2020-10-21,26,1,0,0,0,1,0,0,2,32,0
2020-10-22,0,2,0,0,0,2,0,0,3,0,0
2020-10-23,1,4,0,0,1,1,0,0,3,2,1
2020-10-24,2,3,0,0,2,2,0,0,3,0,0
2020-10-25,2,5,0,0,2,0,0,0,1,0,1
2020-10-26,3,10,0,0,4,0,0,0,5,11,2
2020-10-27,0,0,0,0,0,0,0,0,2,3,2
2020-10-28,3,6,0,0,0,0,0,0,1,7,0
2020-10-29,51,2,0,0,0,0,0,0,2,49,0
2020-10-30,0,5,0,0,0,2,0,0,3,0,1
2020-10-31,1,2,0,2,3,0,0,0,2,1,2
2020-11-01,4,6,0,6,2,2,0,0,1,8,0
2020-11-02,0,5,2,7,0,1,0,0,1,2,3
2020-11-03,4,7,0,8,0,0,3,0,1,0,1
2020-11-04,0,3,0,0,1,0,1,0,4,1,2
2020-11-05,0,2,1,0,0,0,0,0,1,0,0
2020-11-06,23,7,1,0,0,2,1,0,8,71,3
2020-11-07,3,5,0,0,0,0,0,0,3,2,1
2020-11-08,0,21,0,22,3,4,0,0,5,0,7
2020-11-09,0,1,0,3,0,0,1,0,2,0,2
2020-11-10,24,9,0,11,2,1,1,0,2,30,2
2020-11-11,0,4,0,12,1,1,0,0,2,0,5
2020-11-12,0,0,2,0,0,1,0,0,0,0,1
2020-11-13,0,0,0,5,0,1,0,0,0,0,2
2020-11-14,0,5,0,0,0,1,1,0,0,0,3
2020-11-15,0,3,0,2,0,0,0,0,0,0,2
2020-11-16,0,2,0,1,0,0,0,0,0,0,2
2020-11-17,0,1,0,0,0,3,0,0,0,0,0
2020-11-18,1,4,0,2,1,0,0,0,3,0,0
2020-11-19,48,3,0,4,0,0,0,0,6,0,3
2020-11-20,0,3,0,1,1,0,0,0,1,0,1
2020-11-21,0,0,0,0,0,0,0,0,3,0,0
2020-11-22,0,3,0,2,0,1,0,0,5,0,0
2020-11-23,6,0,0,0,0,1,0,0,1,0,1
2020-11-24,1,0,0,0,1,0,0,0,2,0,0
2020-11-25,1,5,2,1,0,0,0,0,3,0,0
2020-11-26,3,3,0,0,1,0,1,0,3,0,0
2020-11-27,0,2,0,0,2,0,0,0,1,0,1
2020-11-28,5,0,0,0,1,0,1,0,1,0,2
2020-11-29,1,4,0,0,0,1,0,0,5,0,0
2020-11-30,1,0,0,0,0,3,0,0,0,0,0
2020-12-01,48,1,0,0,0,1,0,0,1,48,11
2020-12-02,0,0,0,3,0,0,0,0,3,0,1
2020-12-03,0,0,0,0,0,1,1,0,0,0,2
2020-12-04,0,1,0,0,0,2,0,0,3,0,0
2020-12-05,1,1,0,4,0,0,0,0,1,0,4
2020-12-06,1,3,0,2,0,0,2,0,4,2,0
2020-12-07,1,0,0,4,1,1,0,0,1,4,0
2020-12-08,23,6,0,8,0,1,3,0,3,66,5
2020-12-09,0,0,0,0,0,3,0,0,4,0,1
2020-12-10,2,0,0,0,0,2,1,0,4,0,0
2020-12-11,0,0,1,0,0,2,1,0,1,0,2
2020-12-12,0,1,0,0,0,1,1,0,3,0,0
2020-12-13,0,2,0,0,0,1,0,0,2,0,0
2020-12-14,0,0,0,0,0,1,0,0,2,0,5
2020-12-15,3,1,1,0,1,0,1,0,1,7,0
2020-12-16,37,1,1,5,0,2,2,0,1,31,2
2020-12-17,0,1,0,2,1,1,0,0,2,1,2
2020-12-18,0,1,0,2,0,2,0,0,2,0,0
2020-12-19,1,1,0,4,0,2,1,0,0,0,0
2020-12-20,0,1,1,0,1,0,0,0,0,1,2
2020-12-21,50,1,0,0,0,0,0,0,0,48,5
2020-12-22,4,0,0,4,1,1,0,0,0,0,0
2020-12-23,0,0,0,2,0,0,0,0,0,5,0
2020-12-24,4,1,0,0,0,0,0,0,0,2,1
2020-12-25,2,0,1,1,0,0,2,0,0,2,0
2020-12-26,3,8,0,0,1,1,0,0,0,1,2
2020-12-27,4,1,1,2,0,0,1,0,0,3,0
2020-12-28,6,1,0,5,0,0,0,0,0,3,0
2020-12-29,24,0,0,0,0,1,0,0,0,2,0
2020-12-30,1,0,0,5,2,2,0,0,0,0,2
2020-12-31,5,0,1,8,0,1,0,0,0,3,1
2021-01-01,2,2,0,0,0,3,0,0,2,6,0
2021-01-02,1,0,0,0,0,0,0,0,0,6,1
2021-01-03,6,1,1,0,2,2,0,0,5,1,0
2021-01-04,2,0,0,0,0,0,0,0,1,5,1
2021-01-05,2,0,1,0,1,2,2,0,0,1,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,1
2021-01-07,0,1,0,0,0,0,0,0,0,0,0
2021-01-08,5,1,0,22,3,3,1,0,4,12,1
2021-01-09,4,2,0,5,2,4,0,0,4,24,5
2021-01-10,0,1,1,1,0,0,1,0,0,0,0
2021-01-11,2,1,1,3,3,2,0,0,1,3,0
2021-01-12,1,1,0,0,0,1,0,0,1,1,0
2021-01-13,6,0,0,4,0,6,0,0,0,2,1
2021-01-14,1,0,0,0,0,0,0,0,4,5,1
2021-01-15,3,1,0,0,0,0,0,0,1,3,2
2021-01-16,3,4,0,2,1,2,0,0,1,1,0
2021-01-17,4,1,0,0,0,5,2,0,0,0,0
2021-01-18,1,0,0,4,1,4,0,0,3,8,3
2021-01-19,6,0,0,12,0,2,0,0,2,48,0
2021-01-20,0,2,0,8,1,1,0,0,2,5,0
2021-01-21,0,1,0,1,0,3,0,0,1,5,1
2021-01-22,1,0,0,7,0,0,0,0,0,3,0
2021-01-23,7,0,0,7,1,0,3,0,3,3,0
2021-01-24,1,0,0,3,0,1,3,0,0,8,2
2021-01-25,0,0,0,5,0,0,0,0,0,2,0
2021-01-26,0,0,0,3,1,1,0,0,3,5,0
2021-01-27,0,0,1,15,0,0,0,0,11,2,1
2021-01-28,3,1,0,16,1,0,1,0,0,2,0
2021-01-29,3,0,0,18,1,0,0,0,0,10,0
2021-01-30,1,0,0,10,0,1,2,0,1,0,1
2021-01-31,5,11,0,3,0,0,0,0,4,4,0
2021-02-01,0,3,0,7,0,0,0,0,0,0,0
2021-02-02,5,6,0,2,0,0,2,0,0,9,0
2021-02-03,1,3,0,16,0,0,3,0,0,7,3
2021-02-04,0,8,0,10,0,0,0,0,1,1,0
2021-02-05,0,7,0,5,0,1,2,0,3,6,0
2021-02-06,0,8,0,6,0,0,0,0,1,1,1
2021-02-07,2,2,0,11,1,1,0,0,0,3,0
2021-02-08,15,37,0,39,4,1,4,0,5,23,7
2021-02-09,2,5,2,7,1,1,0,0,0,11,2
2021-02-10,1,1,0,16,1,3,0,0,0,15,8
2021-02-11,6,4,0,3,0,0,0,0,2,0,1
2021-02-12,0,1,0,4,0,2,1,0,0,3,1
2021-02-13,0,2,1,3,0,2,2,0,1,1,1
2021-02-14,1,2,1,0,1,0,2,0,1,8,0
2021-02-15,0,1,0,1,0,1,0,0,0,10,3
2021-02-16,2,3,0,4,0,0,1,0,2,8,0
2021-02-17,3,0,0,4,1,1,2,0,2,5,4
2021-02-18,78,2,2,3,0,0,0,0,0,1,15
2021-02-19,3,2,0,6,1,0,2,0,1,0,0
2021-02-20,12,4,0,9,0,0,2,0,1,0,0
2021-02-21,1,0,0,0,0,0,0,0,2,0,0
2021-02-22,3,1,1,11,1,0,0,0,0,0,0
2021-02-23,5,1,0,2,0,0,0,0,0,6,1
2021-02-24,7,0,0,0,1,2,0,0,4,48,0
2021-02-25,10,0,1,0,0,0,3,0,1,1,1
2021-02-26,1,0,0,1,0,1,0,0,2,1,0
2021-02-27,1,2,0,5,0,1,2,0,1,3,0
2021-02-28,7,0,0,24,1,0,0,0,4,7,0
2021-03-01,5,0,0,0,0,1,0,0,0,3,0
2021-03-02,3,3,1,14,0,1,0,0,1,4,0
2021-03-03,26,0,0,6,0,1,1,0,0,127,0
2021-03-04,8,1,0,7,0,0,1,0,2,5,0
2021-03-05,0,0,0,7,0,0,0,0,1,3,5
2021-03-06,1,1,0,7,0,0,0,0,2,0,0
2021-03-07,4,0,0,20,0,0,0,0,1,7,0
2021-03-08,5,6,1,33,0,0,0,0,1,2,0
2021-03-09,0,0,2,7,0,0,0,0,4,11,2
2021-03-10,3,4,0,5,0,0,0,0,1,1,0
2021-03-11,7,0,0,10,0,0,0,0,1,3,0
2021-03-12,5,0,2,14,0,1,0,0,0,2,1
2021-03-13,9,0,0,12,2,0,2,0,0,4,3
2021-03-14,5,6,0,7,0,0,0,0,3,3,0
2021-03-15,10,2,0,4,0,0,0,0,2,8,1
2021-03-16,3,1,0,7,2,1,0,0,0,2,0
2021-03-17,72,1,0,22,1,1,0,0,0,49,15
2021-03-18,6,3,0,12,0,1,1,0,0,2,0
2021-03-19,0,1,1,8,1,0,0,0,2,5,0
2021-03-20,0,2,0,0,1,1,0,0,1,12,0
2021-03-21,0,3,0,0,1,2,0,0,3,1,2
2021-03-22,1,2,0,5,0,0,0,0,3,6,3
2021-03-23,3,0,0,11,1,2,0,0,1,4,1
2021-03-24,4,2,1,10,3,1,0,0,3,16,2
2021-03-25,2,1,0,21,0,0,0,0,2,10,0
2021-03-26,25,1,0,11,0,0,0,0,0,76,12
2021-03-27,8,1,1,9,0,0,0,0,1,1,0
2021-03-28,7,3,0,11,0,0,0,0,0,6,0
2021-03-29,32,1,0,12,1,0,0,0,5,14,0
2021-03-30,0,3,0,2,0,0,0,0,0,4,0
2021-03-31,6,3,0,15,0,1,0,0,2,2,0
2021-04-01,6,3,2,9,1,0,0,0,2,1,0
2021-04-02,2,4,0,26,1,0,0,0,2,12,0
2021-04-03,3,4,0,10,1,0,0,0,0,23,0
2021-04-04,6,4,0,0,0,0,0,0,3,0,0
2021-04-05,6,2,0,15,1,1,0,0,5,5,0
2021-04-06,9,4,0,7,1,0,0,0,0,0,0
2021-04-07,0,16,1,17,1,0,0,0,1,8,4
2021-04-08,4,3,0,9,4,0,0,0,3,19,3
2021-04-09,8,0,0,0,0,0,0,0,2,10,2
2021-04-10,0,0,0,0,0,0,0,0,2,3,1
2021-04-11,6,0,0,1,0,0,0,0,1,0,1
2021-04-12,7,0,0,15,0,0,0,0,4,3,3
2021-04-13,0,0,1,1,0,0,0,0,1,4,0
2021-04-14,1,0,1,35,0,0,0,0,3,2,0
2021-04-15,0,0,0,17,0,1,0,0,0,17,0
2021-04-16,0,0,0,8,0,0,0,0,2,3,0
2021-04-17,1,0,0,6,0,1,0,0,1,2,0
2021-04-18,1,0,1,7,0,0,0,0,2,4,0
2021-04-19,4,2,0,1,0,0,0,0,0,16,1
2021-04-20,0,1,0,6,0,0,0,0,1,7,10
2021-04-21,0,4,0,4,0,0,1,0,1,2,0
2021-04-22,0,3,1,0,0,0,1,0,2,1,0
2021-04-23,2,1,0,2,0,0,0,0,3,2,0
2021-04-24,1,4,0,7,1,0,0,0,0,0,2
2021-04-25,2,5,0,4,0,0,0,0,0,11,5
2021-04-26,6,0,2,14,0,0,0,0,2,8,1
2021-04-27,2,1,0,17,0,0,0,0,2,4,0
2021-04-28,1,0,0,12,0,0,2,0,2,3,2
2021-04-29,2,6,0,13,1,0,0,0,1,11,3
2021-04-30,2,5,1,12,1,2,2,0,5,7,11
2021-05-01,0,3,0,13,1,0,3,0,2,8,3
2021-05-02,0,4,0,12,1,0,2,0,3,7,12
2021-05-03,26,0,0,10,1,0,1,0,5,8,2
2021-05-04,6,0,0,4,0,0,0,0,1,6,0
2021-05-05,0,0,0,13,1,0,0,0,4,4,2
2021-05-06,3,1,0,7,1,0,1,0,0,0,1
2021-05-07,1,0,0,11,0,0,1,0,3,8,5
2021-05-08,2,21,2,51,1,0,3,0,5,22,5
2021-05-09,8,3,0,5,0,0,0,0,4,4,3
2021-05-10,3,2,0,4,2,0,0,0,1,7,0
2021-05-11,1,0,0,9,0,0,1,0,2,4,5
2021-05-12,0,0,0,5,0,0,0,0,2,8,2
2021-05-13,0,1,0,5,1,0,1,0,0,0,4
2021-05-14,3,0,0,16,0,0,0,1,2,8,1
2021-05-15,2,1,1,19,0,0,0,3,3,6,1
2021-05-16,4,1,0,19,0,0,0,1,1,7,3
2021-05-17,0,0,3,5,0,0,0,4,1,1,4
2021-05-18,3,1,0,8,0,0,0,5,4,6,0
2021-05-19,0,0,0,3,0,0,0,6,1,4,1
2021-05-20,0,2,0,7,0,0,0,3,2,1,10
2021-05-21,2,5,0,11,0,0,3,0,0,0,2
2021-05-22,0,4,0,14,0,0,2,0,4,4,11
2021-05-23,0,6,0,7,0,0,1,0,2,6,0
2021-05-24,6,6,0,27,0,0,0,0,1,2,7
2021-05-25,2,3,0,12,0,0,0,0,2,10,0
2021-05-26,2,0,0,1,0,0,3,0,0,0,1
2021-05-27,4,4,0,6,0,0,0,0,1,2,1
2021-05-28,11,6,1,11,0,0,0,0,1,4,1
2021-05-29,12,3,0,6,0,0,1,0,2,2,1
2021-05-30,1,4,0,0,2,0,7,0,5,9,0
2021-05-31,1,1,1,27,9,0,1,0,6,7,0
2021-06-01,1,0,0,3,1,0,1,0,1,13,0
2021-06-02,3,0,2,6,0,0,1,0,2,2,4
2021-06-03,0,4,0,0,4,0,0,0,1,2,0
2021-06-04,1,1,1,7,1,0,1,0,2,4,3
2021-06-05,1,5,0,0,0,0,2,0,2,5,3
2021-06-06,3,2,0,8,0,0,0,0,3,30,1
2021-06-07,14,2,0,3,0,0,0,0,2,1,0
2021-06-08,8,16,1,31,3,0,0,0,8,25,5
2021-06-09,8,2,0,7,1,0,0,0,0,2,0
2021-06-10,2,0,0,3,0,0,0,0,6,4,3
2021-06-11,4,3,0,7,0,0,0,0,4,1,5
2021-06-12,1,3,0,14,1,0,0,0,4,5,0
2021-06-13,0,0,0,7,0,0,0,0,3,9,0
2021-06-14,3,3,0,5,0,0,1,0,4,3,1
2021-06-15,1,1,1,3,0,0,0,0,5,6,0
2021-06-16,0,1,1,3,0,0,0,0,1,10,4
2021-06-17,0,1,0,3,0,0,0,0,2,9,0
2021-06-18,0,0,0,3,1,0,0,0,3,11,0
2021-06-19,2,3,0,12,0,0,1,0,0,4,0
2021-06-20,1,1,0,8,0,0,2,0,3,20,0
2021-06-21,0,1,0,15,0,0,2,0,7,0,0
2021-06-22,2,0,1,5,0,0,0,0,6,14,2
2021-06-23,0,0,1,7,0,0,3,0,6,8,0
2021-06-24,0,3,0,8,1,0,0,0,6,19,2
2021-06-25,3,1,0,6,0,0,1,0,4,7,4
2021-06-26,1,2,1,7,3,0,1,0,1,0,1
2021-06-27,2,2,0,1,0,0,1,0,5,7,1
2021-06-28,1,7,0,12,0,0,0,0,2,9,0
2021-06-29,1,2,0,2,1,0,0,0,9,13,2
2021-06-30,0,1,1,12,3,0,0,0,4,5,0
2021-07-01,0,2,0,9,0,0,0,0,1,4,2
2021-07-02,3,3,0,11,0,0,1,0,1,4,0
2021-07-03,10,0,0,8,0,0,0,0,0,2,0
2021-07-04,1,3,1,20,1,0,1,0,0,4,0
2021-07-05,2,1,1,11,0,0,0,0,0,8,0
2021-07-06,0,3,0,1,0,0,0,0,0,1,0
2021-07-07,3,3,1,14,0,0,1,0,4,5,1
2021-07-08,1,15,0,33,1,0,1,0,10,39,2
2021-07-09,0,2,0,0,1,0,0,0,8,2,5
2021-07-10,0,4,0,0,0,0,0,0,2,0,1
2021-07-11,2,1,0,0,0,0,1,0,0,7,2
2021-07-12,0,0,0,0,1,0,0,0,0,10,3
2021-07-13,6,1,1,13,0,0,0,0,3,1,1
2021-07-14,0,11,1,12,0,0,0,0,2,1,1
