date,store_id,store_name,product_id,product_name,category,weather,is_holiday,is_weekend,is_activity_day,predicted_sales,model,model_label,external_scenario_note
2022-04-01,14,C地彩虹南路店,11000405,百事可乐330ml,碳酸饮料,多云,0,0,0,2.3955296020949497,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,多云,0,0,0,0.06350763443823293,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11002170,三养辣火鸡味拌面,速食类,多云,0,0,0,0.2656404976078264,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11002561,乡吧哥蜜汁鸡翅,包装散称,多云,0,0,0,4.5136200552856955,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,多云,0,0,0,0.00011138275022715137,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11004973,特仑苏纯牛奶,乳类饮品,多云,0,0,0,0.5840514142073002,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11005780,大丰古法瓜子,包装坚果,多云,0,0,0,0.3967019776800745,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11008516,李子柒螺蛳粉335g,速食类,多云,0,0,0,1.7812264202845633,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,多云,0,0,0,7.885355446829747e-90,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
2022-04-01,14,C地彩虹南路店,12000134,百事可乐600ml,碳酸饮料,多云,0,0,0,1.5549070417698363,exp_smoothing,问题一门店-商品指数平滑,天气、温度、风力、活动日为历史同月日参考；节假日按2022清明日历设定
